"bigram","freq","speaker"
"bone throwing",1,"PAM"
"boob job",1,"PAM"
"boom ahem",1,"PAM"
"boom priapism",1,"PAM"
"boring conversation",1,"PAM"
"borrowed time",1,"PAM"
"bowling balls",1,"PAM"
"boy eh",1,"PAM"
"boy ha",1,"PAM"
"boy ring",1,"PAM"
"boyfriend arn",1,"PAM"
"brain chips",1,"PAM"
"brake line's",1,"PAM"
"brazilian steakhouse",1,"PAM"
"brazos county",1,"PAM"
"breakfast clubber",1,"PAM"
"breakup uh",1,"PAM"
"breath fogs",1,"PAM"
"breathing deeply",1,"PAM"
"bring em",1,"PAM"
"brown mica",1,"PAM"
"buck fifty",1,"PAM"
"bucks worth",1,"PAM"
"bug nuts",1,"PAM"
"bullion leak",1,"PAM"
"bullshit job",1,"PAM"
"bum zappers",1,"PAM"
"bump uglies",1,"PAM"
"buncha guns",1,"PAM"
"burps stays",1,"PAM"
"busy sniffing",1,"PAM"
"butt sex",1,"PAM"
"butthole lana",1,"PAM"
"buy lana",1,"PAM"
"buyer lined",1,"PAM"
"bye pam",1,"PAM"
"call cherlene",1,"PAM"
"called craps",1,"PAM"
"called shuttin",1,"PAM"
"called tough",1,"PAM"
"cap'n crunch",1,"PAM"
"car driver",1,"PAM"
"car hooker",1,"PAM"
"car horn",1,"PAM"
"car smogged",1,"PAM"
"car's shot",1,"PAM"
"care wait",1,"PAM"
"cares figgis",1,"PAM"
"carpenter's stunt",1,"PAM"
"casts smell",1,"PAM"
"cb handle",1,"PAM"
"certified kobe",1,"PAM"
"che tires",1,"PAM"
"cheat day",1,"PAM"
"cheese curds",1,"PAM"
"cherlene wrote",1,"PAM"
"cheryl hope",1,"PAM"
"cheryl nods",1,"PAM"
"cheryl runs",1,"PAM"
"cheryl's dumb",1,"PAM"
"chickenshit outfit",1,"PAM"
"chocolate mousse",1,"PAM"
"choke banged",1,"PAM"
"choo choo",1,"PAM"
"choo spoon",1,"PAM"
"chop vegetables",1,"PAM"
"christ shit",1,"PAM"
"christmas ham",1,"PAM"
"chuckling fluid",1,"PAM"
"clacks ew",1,"PAM"
"clam sauce",1,"PAM"
"claw monday",1,"PAM"
"claws rowr",1,"PAM"
"cliburn knock",1,"PAM"
"clingy shirt",1,"PAM"
"clip joint",1,"PAM"
"clock yer",1,"PAM"
"clompin ass",1,"PAM"
"clone bastard",1,"PAM"
"clone wars",1,"PAM"
"closed hit",1,"PAM"
"clown blood",1,"PAM"
"coca fields",1,"PAM"
"cocaine enthusiast",1,"PAM"
"cocaine online",1,"PAM"
"cock porn",1,"PAM"
"cockblock archer",1,"PAM"
"coffins cyril",1,"PAM"
"coke lickbag",1,"PAM"
"coke snacks",1,"PAM"
"cold pony",1,"PAM"
"collide huh",1,"PAM"
"color xerox",1,"PAM"
"comedy stylings",1,"PAM"
"commercial driver's",1,"PAM"
"company issued",1,"PAM"
"consenting adult",1,"PAM"
"continually disappoint",1,"PAM"
"conway boning",1,"PAM"
"cooch chili",1,"PAM"
"cool runnings",1,"PAM"
"cooze inappropes",1,"PAM"
"correct signed",1,"PAM"
"coughs sweater",1,"PAM"
"count krieg",1,"PAM"
"country music",1,"PAM"
"county fair",1,"PAM"
"couple joints",1,"PAM"
"couple skate",1,"PAM"
"cousins wow",1,"PAM"
"cow talk's",1,"PAM"
"cows bees",1,"PAM"
"craft services",1,"PAM"
"crammin pool",1,"PAM"
"crate lag",1,"PAM"
"crazy awesome",1,"PAM"
"crazy dago",1,"PAM"
"crazy huh",1,"PAM"
"crazy pants",1,"PAM"
"crazy shrink",1,"PAM"
"crazy tits",1,"PAM"
"crónico gracias",1,"PAM"
"crooked cops",1,"PAM"
"cross indexed",1,"PAM"
"crowd huh",1,"PAM"
"cruella de",1,"PAM"
"crush boner",1,"PAM"
"cue sad",1,"PAM"
"cutest guess",1,"PAM"
"cyborg supervillain",1,"PAM"
"cyril bailed",1,"PAM"
"cyril choke",1,"PAM"
"cyril cyril",1,"PAM"
"cyril goddamn",1,"PAM"
"cyril hey",1,"PAM"
"cyril ignore",1,"PAM"
"cyril snaps",1,"PAM"
"cyril trust",1,"PAM"
"cyril ya",1,"PAM"
"cyril's gotta",1,"PAM"
"cyril's life",1,"PAM"
"dachshund puppy",1,"PAM"
"dad cry",1,"PAM"
"dagoes kill",1,"PAM"
"dammit dude",1,"PAM"
"dammit happy",1,"PAM"
"damn cat",1,"PAM"
"damn doctor",1,"PAM"
"damn door",1,"PAM"
"damn fish",1,"PAM"
"damn gina",1,"PAM"
"damn hood",1,"PAM"
"damn indulgence",1,"PAM"
"damn peer",1,"PAM"
"damn pho",1,"PAM"
"damn racket",1,"PAM"
"damn sputters",1,"PAM"
"damn table",1,"PAM"
"damn talcum",1,"PAM"
"dance partner",1,"PAM"
"danger zone",1,"PAM"
"dastardly dagoes",1,"PAM"
"date dates",1,"PAM"
"dates dingdong",1,"PAM"
